Unnamed: 0,번호,제목,저자,출판사,출판일
,31,Evaluation eines Zukunftsszenarios zur Nutzung von Big-Data-Anwendungen für die Verbesserung der Versorgung von Menschen mit seltenen Erkrankungen,"Sedlmayr, Brita; Knapp, Andreas; Kümmel, Michéle; Bathelt, Franziska; Sedlmayr, Martin",ESEVIER SCIENCE B V AMSTERDAM,2020
,32,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014
,33,Monsanto throws its hat in the big-data ring,unknown,CXO MEDIA,2013
,34,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",SPRINGER-VERLAG,2014
,35,JBHI Special Issue of &#x201C;Big-Data for Health&#x201D;,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,36,Position synchronization for track geometry inspection data via big-data fusion and incremental learning,"Wang, Yuan; Wang, Ping; Wang, Xin; Liu, Xiang","Elsevier Science B.V., Amsterdam.",2018
,37,Government responsiveness and public acceptance of big-data technology in urban governance: Evidence from China during the COVID-19 pandemic,"Guo, Yue; Chen, Jidong; Liu, Zhilin","Elsevier Science B.V., Amsterdam.",2022
,38,Decentralized Opportunistic Channel Access in CRNs Using Big-Data Driven Learning Algorithm,"Xu, Zuohong",IEEE,2021
,39,Vergleich von Kompetenzanforderungen an Business-Intelligence- und Big-Data-Spezialisten,"Debortoli, S.; Müller, O.; Brocke, J. v.",unknown,2014
,40,A code offloading scheme for big-data processing in android applications,"Hung, S. H.; Tzeng, T. T.; Wu, G. D.; Shieh, J. P.","John Wiley & Sons, Ltd",2015
,41,AD EXEC OF THE FUTURE? BIG-DATA DRAPER,"Kerwin, Ann Marie; Zmuda, Natalie","Crain Communications, Inc.",2013
,42,Economics and econophysics in the era of Big Data,"Cheong, S. A.",SPRINGER,2016
,43,RW4 APPLICATION OF ARTIFICIAL INTELLIGENCE AND MEDICAL BIG-DATA IN REAL WORLD EVIDENCE GENERATION: A LITERATURE REVIEW OF RESEARCH PRACTICE IN CHINA,"Xiong, T.; Li, J.; Hao, Y.; Xu, J.","Elsevier Science B.V., Amsterdam",2019
,44,Analysis of production cycle-time distribution with a big-data approach,"Tan, Xu",Springer Nature,2020
,45,"DUG Insight: A software package for big-data analysis and visualisation, and its demonstration for passive radar space situational awareness using radio telescopes","Grigg, D.","Elsevier Science B.V., Amsterdam",2022
,46,The Linear Estimation Problem and Information in Big-Data Systems,"Golubtsov, P. V.",Springer Nature,2018
,47,An Enhanced Load Balancing Technique for Big-data Cloud Computing Environments,"Oduwole, O.A.",Taylor & Francis,2022
,48,A Study on Monitoring Models for Big-Data Traffic Analysis and Utilization,Hae-Jong Joo; Moon-Taek Cho; Jong-Suk Lee,International Information Institute,2015
,49,High-performance interconnection networks in the Exascale and Big-Data Era,"Escudero-Sahuquillo, J. s.; Garcia, P. J.",Springer Science + Business Media,2016
,50,Identifying industrial clusters with a novel big-data methodology: Are SIC codes (not) fit for purpose in the Internet age?,"Papagiannidis, Savvas; See-To, Eric W.K.; Assimakopoulos, Dimitris G.; Yang, Yang","Elsevier Science B.V., Amsterdam.",2018
,51,CuraEx - Clinical Expert System Using Big-Data for Precision Medicine,"Adhil,  Mohamood; Gandham,  Santhosh; Talukder,  Asoke K.; Agarwal,  Mahima; Achutharao,  Prahalad",Springer,2015
,52,"„Wichtig ist auch der Hinweis, dass Big-Data- und vergleichbare Konzepte nicht unmittelbar greifen“",unknown,Springer Science + Business Media,2016
,53,BITKOM: Beste Voraussetzungen für den Big-Data-Standort Deutschland,unknown,Deutscher Fachverlag GmbH,2016
,54,A Critical Review of the Big-Data Paradigm,"Xing, Ruben;Ren, Jinluan;Sun, JianghuaLiu, Lihua",IGI Publishing,2016
,55,"Physical education's grand convergence: Fitnessgram®, big-data and the digital commerce of children's health","Pluim, Carolyn; Gard, Michael",Taylor & Francis,2018
,56,On the Timed Analysis of Big-Data Applications,"Marconi,  Francesco; Quattrocchi,  Giovanni; Baresi,  Luciano; Bersani,  Marcello M.; Rossi,  Matteo",Springer,2018
,57,The China Kidney Disease Network (CK-NET): “Big Data—Big Dreams”,"Saran, Rajiv; Steffick, Diane; Bragg-Gresham, Jennifer",W B SAUNDERS CO,2017
,58,Evolutionary Scheduling of Dynamic Multitasking Workloads for Big-Data Analytics in Elastic Cloud,"Zhang, F.; Cao, J.; Tan, W.; Khan, S. U.; Li, K.; Zomaya, A. Y.",IEEE,2014
,59,"Symposium on insure‐tech, digitalization, and big‐data techniques in risk management and insurance",Daniel Bauer,wiley,2021
,60,Cost optimization for deadline-aware scheduling of big-data processing jobs on clouds,"Zheng, Wei; Qin, Yingsheng; Bugingo, Emmanuel; Zhang, Dongzhan; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,61,Ursachenforschung in der Medizin: Mit Big-Data dem Vergessen auf der Spur,unknown,UITGEVERIJ DE MUIDERKRING BV,2018
,62,A Novel Cloud-Fog Computing Network Architecture for Big-Data Applications in Smart Factory Environments,"Ahn, Dae Jun; Jeong, Jongpil; Lee, Sunpyo",Springer,2018
,63,"Digital conversations about suicide among teenagers and adults with epilepsy: A big‐data, machine learning analysis",Tatiana Falcone,wiley,2020
,64,Estimation départementale de l’incidence des cancers : comment utiliser les « big-data » de manière valide ?,E. Chatignoux; L. Remontet; M. Colonna; Z. Uhry,Masson,2018
,65,P0363 / #645: AN INFORMATICS APPROACH TO IMPROVE THE EFFICIENCY OF CLINICAL BIG-DATA MANAGEMENT AND EXTRACTED DATA QUALITY FOR CLINICAL TRIALS: A SCOTTISH PICU'S PERSPECTIVE.,"Van Dijke, M.","Lippincott, Williams & Wilkins",2021
,66,Realitäts-Check in der Pharmakoepidemiologie Vorhersage von Medikationsrisiken für personalisierte Therapieentscheidungen im Big-Data-Zeitalter,"Meid,  Andreas D.; Haefeli,  Walter E.",DEUTSCHER APOTHEKER VERLAG,2018
,67,"Genomic Sequencing: Assessing The Health Care System, Policy, And Big-Data Implications","Phillips, K.A.; Trosman, J.R.; Kelley, R.K.; Pletcher, M.J.; Douglas, M.P.; Weldon, C.B.",PROJECT HOPE,2014
,68,A novel GPU-aware Histogram-based algorithm for supporting moving object segmentation in big-data-based IoT application scenarios,"Cuzzocrea, Alfredo; Mumolo, Enzo","Elsevier Science B.V., Amsterdam.",2019
,69,Herausforderungen in der Wirtschaftsprüfung durch den Einsatz von Big-Data-Technologien,Patrick Velte; Paul Drews,Handelsblaft,2018
,70,"Interminable Flows: A Generic, Joint, Customizable Resiliency Model for Big-Data Streaming Platforms","Abusalah, Bara",IEEE,2023
,71,The best ways to get business value out of big-data analysis,unknown,CXO MEDIA,2012
,72,Green service production and environmental performance in healthcare emergencies: role of big-data management and green HRM practices,"Kumar, Pradeep",Emerald Group Publishing Ltd,2022
,73,Reproductive medicine at the crossroads of stem cell biology and big-data,"Tilly, Jonathan L.; Woods, Dori C.","Elsevier Science B.V., Amsterdam.",2021
,74,Digital Pharmacovigilance and Disease Surveillance: Combining Traditional and Big-Data Systems for Better Public Health,Marcel Salathé,Oxford University Press,2016
,75,Raffi Krikorian He left Uber to help the DNC regain its big-data mojo,unknown,TECHNOLOGY REVIEW,2018
,76,"Deep Thinkers For three top-tier businesses that are reaping big rewards from big-data analytics, the keys to success include a deeply rooted culture of analytics and a relentless focus on cost efficiency and process improvement",unknown,CW COMMUNICATIONS INC.,2013
,77,Proxy expenditure weights for Consumer Price Index: Audit sampling inference for big‐data statistics,"Zhang, Li‐Chun",John Wiley & Sons Ltd,2021
,78,Cross-Correlation as Tool to Determine the Similarity of Series of Measurements for Big-Data Analysis Tasks,"Hilbrich,  Marcus; Müller-Pfefferkorn,  Ralph",Springer,2015
,79,Cross-Correlation as Tool to Determine the Similarity of Series of Measurements for Big-Data Analysis Tasks,"Hilbrich,  Marcus; Müller-Pfefferkorn,  Ralph",Springer,2015
,80,Special issue on trends in high‐performance interconnection networks in the exascale and big‐data era,"Escudero‐Sahuquillo, Jesús; Garcia, Pedro Javier","John Wiley & Sons, Ltd",2017
,81,Aspirin and heart disease form focus of US big-data health initiative,unknown,Nature Publishing Group,2014
,82,Analyzing the Influencing Factors of Urban Thermal Field Intensity Using Big-Data-Based GIS,"Huanchun, Huang; Hailin, Yang; Xin, Deng; Cui, Hao; Zhifeng, Liu; Wei, Liu; Peng, Zeng",Elsevier Science,2020
,83,Effective crude oil price forecasting using new text-based and big-data-driven model,"Wu, Binrong; Wang, Lin; Lv, Sheng-Xiang; Zeng, Yu-Rong","Elsevier Science B.V., Amsterdam.",2021
,84,"Analysis commons, a team approach to discovery in a big-data environment for genetic epidemiology","Brody, J. A.; Morrison, A. C.; Bis, J. C.; O'Connell, J. R.; Brown, M. R.; Huffman, J. E.; Ames, D. C.; Carroll, A.; Conomos, M. P.; Gabriel, S.",Nature Publishing Group,2017
,85,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6, 377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013","Zhang, Lu-Lu; Li, Guo-Hong; Li, Yi-Yang; Qi, Zhen-Yu; Lin, Ai-Hua; Sun, Ying",Korean Cancer Association,2019
,86,Real-time business activity monitoring and analysis of process performance on big-data domains,"Vera-Baquero, Alejandro; Colomo-Palacios, Ricardo; Molloy, Owen","Elsevier Science B.V., Amsterdam.",2016
,87,From corpus creation to formative discovery: the power of big-data-rhetoric teams and methods,"Ryan, Sarah E.",Taylor & Francis,2023
,88,Development of Classification Model of Power System Fault by Using PMU Big-Data,"Kang, Sung-Bum; Ko, Baek-Kyeong; Nam, Su-Chul; Choi, Yong-Do; Kim, Yong-Hak; Jeon, Dong-Hoon",KOREAN INSTITUTE OF ELECTRICAL ENGINEERS,2019
,89,The dual drivetrain model of digital transformation: role of industrial big-data-based affordance,"Liu, Yi; Wang, Wei; Zhang, Zuopeng (Justin)",Emerald Group Publishing Limited,2020
,90,Predicting In-Hospital Mortality at Admission to the Medical Ward: A Big-Data Machine Learning Model,"Soffer, Shelly; Klang, Eyal; Barash, Yiftach; Grossman, Ehud; Zimlichman, Eyal","Elsevier Science B.V., Amsterdam.",2021
,91,WHEN SHOULD INVESTORS SHORT THE STOCKS OF ACQUIRING FIRMS? BIG-DATA INSIGHTS FROM JOINING CAR AND EVA STYLE ANALYSIS,"Chakraborty, Atreya; Grant, James L.; Trahan, Emery A.; Varma, Bhakti",INSTITUTIONAL INVESTOR INC.,2019
,92,Diffusion of real versus misinformation during a crisis event: A big data-driven approach,"King, Kelvin K.","Elsevier Science B.V., Amsterdam.",2023
,93,Exploring COVID-19 vaccine hesitancy and behavioral themes using social media big-data: a text mining approach,"Yadav, Honey",Emerald Group Publishing Limited,2023
,94,Innovative Change in Marketing and Service in MFP Business by Big-Data Analytics,"Uchida,  K.; Ono,  H.; Oku,  T.",UNKNOWN,2017
,95,Stochastic Decision Making for Adaptive Crowdsourcing in Medical Big-Data Platforms,"Kim, J.; Lee, W.",IEEE,2015
,96,An error‐correction and anti‐interference coding method for tracking big‐data information of commodities,Jiaxin Wan,"John Wiley & Sons, Inc.",2021
,97,"Selected Peer-Reviewed Articles from 3rd International Conference on Big-Data, IoT, Cloud Computing Technologies and Applications (BICTA 2017), Daejeon, Korea, 9–11 November, 2017",Sok Pal Cho,American Scientific Publishers,2018
,98,Social and spatial heterogeneities in COVID-19 impacts on individual's metro use: A big-data driven causality inference,"Liu, Chengcheng","Elsevier Science B.V., Amsterdam.",2023
,99,The Prediction of Photovoltaic Power Using Regression Models Based on Weather Big-data and Sensing Data,"Park, So-Yeon; Bang, Jun-ho; Ryu, In-ho; Kim, Tae-hyeong",KOREAN INSTITUTE OF ELECTRICAL ENGINEERS,2019
,100,Commuting inequity and its determinants in Shanghai: New findings from big-data analytics,"Zhao, Pengjun; Cao, Yushu","Elsevier Science B.V., Amsterdam.",2020
,1,An energy management platform for micro-grid systems using Internet of Things and Big-data technologies,Abdellatif Elmouatamid ; Youssef NaitMalek ; Mohamed Bakhouya ; Radouane Ouladsine ; Najib Elkamoun ; Khalid Zine-Dine ; Mohammed Khaidar,Institution of Mechanical Engineers,2019
,2,A Cloud-Distributed GPU Architecture for Pattern Identification in Segmented Detectors Big-Data Surveys,"Napoli, C.; Pappalardo, G.; Tramontana, E.; Zappalà, G.",Oxford University Press,2016
,3,Development of a Safety Prediction Method for Arterial Roads Based on Big-Data Technology and Stacked AutoEncoder-Gated Recurrent Unit,"Hao, Wei",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2022
,4,"Neuroimaging PheWAS (Phenome-Wide Association Study): A Free Cloud-Computing Platform for Big-Data, Brain-Wide Imaging Association Studies","Zhao, Lu;Batta, Ishaan;Matloff, William;O’Driscoll, Caroline;Hobel, SamuelToga, Arthur W.","Humana Press, Inc.",2021
,5,Mining Based Time-Series Sleeping Pattern Analysis for Life Big-Data,"Kim, Joo-Chang; Chung, Kyungyong",Springer Nature,2018
,6,Modeling for Global Management of Complex Product Subject Data Oriented at Big-Data,"Wu, D.; Yin, G.F.",TRANS TECH PUBLICATIONS,2014
,7,Convergent Evolution of the Army Ant Syndrome and Congruence in Big-Data Phylogenetics,Marek L Borowiec,Society of Systematic Biologists,2019
,8,Stakeholder concerns of air pollution in Hong Kong and policy implications: A big-data computational text analysis approach,"Lam, Jacqueline C.K.; Cheung, Lawrence Y.L.; Wang, Shanshan; Li, Victor O.K.","Elsevier Science B.V., Amsterdam.",2019
,9,Practice and Research on Aeration Control Technology Based on Big-data Analysis,"Feng,  Li-jie",CHINA WATER AND WASTEWATER JOURNAL PUBLISHING,2016
,10,Multimetal‐Substituted Epsilon‐Iron Oxide ϵ‐Ga0.31Ti0.05Co0.05Fe1.59O3 for Next‐Generation Magnetic Recording Tape in the Big‐Data Era,"Ohkoshi, Shin‐ichi; Namai, Asuka; Yoshikiyo, Marie; Imoto, Kenta; Tamazaki, Kazunori; Matsuno, Koji; Inoue, Osamu; Ide, Tsutomu; Masada, Kenji; Goto, Masahiro; Goto, Takashi; Yoshida, Takayuki; Miyazaki, Tatsuro",John Wiley & Sons Ltd,2016
,11,"Competing risk nomograms for nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data, intelligence platform-based analysis","Huang, Xiao-Dan; Zhou, Guan-Qun; Lv, Jia-Wei; Zhou, Hua-Qiang; Zhong, Chen-Wen; Wu, Chen-Fei; Zheng, Zi-Qi; He, Xiao-Jun; Peng, Liang; Ma, Jun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2018
,12,Anatomy of Scholarly Collaboration in Engineering Education: A Big-Data Bibliometric Analysis,"Xian, H.; Madhavan, K.",AMERICAN SOCIETY FOR ENGINEERING EDUCATION,2014
,13,Managing default risk under trade credit: Who should implement Big-Data analytics in supply chains?,"Tsao, Yu-Chung","Elsevier Science B.V., Amsterdam.",2017
,14,An efficient and forward-secure lattice-based searchable encryption scheme for the Big-data era,"Islam, SK Hafizul; Mishra, Nimish; Biswas, Souvik; Keswani, Bharat; Zeadally, Sherali","Elsevier Science B.V., Amsterdam.",2021
,15,Method for a cloud based remaining-service-life-prediction for vehicle-gearboxes based on big-data-analysis and machine learning,"Vietze, D.",Verein Deutscher Ingenieure,2020
,16,Predicting future mental illness from social media: A big-data approach,"Thorstad, Robert; Wolff, Phillip",Springer Nature,2019
,17,``Leadership in Action: How Top Hackers Behave'' A Big-Data Approach with Text-Mining and Sentiment Analysis,"Biswas, Baidyanath; Mukhopadhyay, Arunabha; Gupta, Gaurav",IEEE,2018
,18,Dynamic fracture of a bicontinuously nanostructured copolymer: A deep-learning analysis of big-data-generating experiment,"Jin, Hanxun","Elsevier Science B.V., Amsterdam.",2022
,19,Retraction notice to E-commerce logistics distribution mode in big-data context: A case analysis of JD.COM [Industrial Marketing Management 86 (2020) 154–162],"Zheng, Kangning","Elsevier Science B.V., Amsterdam.",2022
,20,Introduction to the Special Issue on Online Learning for Big-Data Driven Transportation and Mobility,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2019
,21,Analysis of Network Malicious Behavior and Feature Association Based on Big-Data,"Wang, Chuandong; Ye, Qing; Yao, Lu; Liu, Shangdong; Ji, Yimu; Wang, Ruchuan",unknown,2018
,22,Symmetrical Compression Distance for Arrhythmia Discrimination in Cloud-Based Big-Data Services,"Lillo-Castellano, J. M.; Mora-Jimenez, I.; Santiago-Mozos, R.; Chavarria-Asso, F.; Cano-Gonzalez, A.; Garcia-Alberola, A.; Rojo-Alvarez, J. L.",IEEE,2015
,23,Optimization assisted bidirectional gated recurrent unit for healthcare monitoring system in big-data,"Shukla, Prashant Kumar;Stalin, Shalini;Joshi, Shubham;Shukla, Piyush KumarPareek, Piyush Kumar",Elsevier,2023
,24,A Novel on Altered K-Means Algorithm for Clustering Cost Decrease of Non-labeling Big-Data,"Jung, Se-Hoon; So, Won-Ho; You, Kang-Soo; Sim, Chun-Bo",Springer,2018
,25,Parallel and Distributed Successive Convex Approximation Methods for Big-Data Optimization,"Scutari, Gesualdo; Sun, Ying",Springer-Verlag,2014
,26,Androgen Deprivation Therapy and Dementia: New Opportunities and Challenges in the Big-Data Era,"Nead,  Kevin T.",American Society of Clinical Oncology,2017
,27,Datenanalyse: Eine Studie untersucht die Potenziale von &ldquor;Big-Data&ldquor;-Techniken in der Medizin,"Ruping, S.; Graf, N.",GESCHAEFTSFUEHRUNG DER DEUTSCHER AERZTE-VERLAG GMBH,2013
,28,PMU44 - TOP 10 MOST COSTLY DISEASES IN CHINA: A BIG-DATA DATABASE ANALYSIS,"Huang, Y; Ruan, J; Yang, W; Wu, Y; Xiao, H","Elsevier Science B.V., Amsterdam",2018
,29,CAMP: ACCURATE MODELING OF CORE AND MEMORY LOCALITY FOR PROXY GENERATION OF BIG-DATA APPLICATIONS,"Panda, Reena; Zheng, Xinnian; Gerstlauer, Andreas; John, Lizy Kurian",IEEE Computer Society,2018
,30,"Chew on It! How Singapore-based health informatics company MHC Asia Group crunches big-data to uncover your company's health. MHC Asia, Singapore",unknown,K.H. BIOTECH SERVICES,2015
,31,"A candidate gene identification strategy utilizing mouse to human big-data mining: ""3R-tenet"" in COPD genetic research","Vishweswaraiah, Sangeetha; George, Leema; Purushothaman, Natarajan; Ganguly, Koustav",Springer Nature,2018
,32,Predicting Congestion States from Basic Safety Messages by Using Big-Data Graph Analytics,"Vasudevan,  Meenakshy; Negron,  Daniel; Feltz,  Matthew; Mallette,  Jennifer; Wunderlich,  Karl","Washington, DC; National Academy Press; 1998",2015
,33,Siting public electric vehicle charging stations in Beijing using big-data informed travel patterns of the taxi fleet,"Cai, H.; Jia, X.; Chiu, A.S.F.; Hu, X.; Xu, M.","Elsevier Science B.V., Amsterdam.",2014
,34,Quantifying Uncertainty in Internet of Medical Things and Big-Data Services Using Intelligence and Deep Learning,"Al-Turjman, Fadi",IEEE,2019
,35,Trends in High‐Performance Interconnection Networks in the Exascale and Big‐Data Era (HiPINEB 2017),Jesús Escudero Sahuquillo,wiley,2019
,36,A Kind of Novel ITS Based on Space-Air-Ground Big-Data,"Xiong, G.; Zhu, F.; Dong, X.; Fan, H.; Hu, B.; Kong, Q.; Kang, W.; Teng, T.",IEEE Institute of Electrical & Electronics,2016
,37,Text mining geo-visualization of patent documents on geo-spatial big-data industry,"Choi, Wonwook",Springer Nature,2018
,38,Method for a cloud based remaining-service-life-prediction for vehicle-gearboxes based on big-data-analysis and machine learning,"Vietze, Daniel",Springer Nature,2020
,39,``Leadership in Action: How Top Hackers Behave'' A Big-Data Approach with Text-Mining and Sentiment Analysis,"Biswas, Baidyanath",IEEE,2018
,40,WCN23-1058 PREDICTION OF INTRADIALYTIC BLOOD-PRESSURE VARIATION BASED ON BIG-DATA Abstract paid for submission 2022-A-WCN23-0997(200026395365),"LIN, C.J.","Elsevier Science B.V., Amsterdam",2023
,41,"Development of Human Emotion Circuits Investigated Using a Big-Data Analytic Approach: Stability, Reliability, and Robustness","Zhang, Yuan; Padmanabhan, Aarthi; Gross, James J.; Menon, Vinod",Society for Neuroscience,2019
,42,A Secure and Intelligent Framework for Vehicle Health Monitoring Exploiting Big-Data Analytics,"Rahman, Md. Arafatur",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2022
,43,The Use of Crowdfunding and Social Media Platforms in Strategic Start-up Communication: A Big-data Analysis,"Park, Sun-Young; Loo, Boon Thau",Taylor & Francis,2022
,44,Agricultural cropland extent and areas of South Asia derived using Landsat satellite 30-m time-series big-data using random forest machine learning algorithms on the Google Earth Engine cloud,"Gumma, Murali Krishna; Thenkabail, Prasad S.; Teluguntla, Pardhasaradhi G.; Oliphant, Adam; Xiong, Jun; Giri, Chandra; Pyla, Vineetha; Dixit, Sreenath; Whitbread, Anthony M",Taylor and Francis,2020
,45,"Anti-EGFR targeted therapy delivered before versus during radiotherapy in locoregionally advanced nasopharyngeal carcinoma: a big-data, intelligence platform-based analysis","Peng, Hao",Springer Nature,2018
,46,A 3T1R Nonvolatile TCAM Using MLC ReRAM for Frequent-Off Instant-On Filters in IoT and Big-Data Processing,"Chang, M.; Lin, C.; Lee, A.; Chiang, Y.; Kuo, C.; Yang, G.; Tsai, H.; Chen, T.; Sheu, S.",IEEE; 1998,2017
,47,PRS66 A COST ANALYSIS OF CURRENT SITUATION OF PNEUMONIA TREATMENT IN CHINA: A BIG-DATA HOSPITAL INFORMATION SYSTEM (HIS) DATABASE ANALYSIS,"Huang, Y.; Wang, C.; Xue, X.; Wu, G.; Li, J.","Elsevier Science B.V., Amsterdam",2019
,48,A utility-maximization model for retrieving users' willingness to travel for participating in activities from big-data,"Gkiotsalitis, K.; Stathopoulos, A.","Elsevier Science B.V., Amsterdam.",2015
,49,Small‐batch‐size convolutional neural network based fault diagnosis system for nuclear energy production safety with big‐data environment,Yuantao Yao,"John Wiley & Sons, Inc.",2020
,50,Optimizing the induction chemotherapy regimen for patients with locoregionally advanced nasopharyngeal Carcinoma: A big-data intelligence platform-based analysis,"Peng, Hao; Tang, Ling-Long; Chen, Bin-Bin; Chen, Lei; Li, Wen-Fei; Mao, Yan-Ping; Liu, Xu; Zhang, Yuan; Liu, Li-Zhi; Tian, Li; Guo, Ying; Sun, Ying; Ma, Jun","Elsevier Science B.V., Amsterdam.",2018
,51,Granulomatosis with Polyangiitis Presenting with Acute Aortic and Mitral Regurgitation: Case Report and Big-Data Analysis,"Al-Kindi,  Sadeer G.; Al-Aiti,  M. Amer; Yang,  Michael; Josephson,  Richard A.",ICR PUBLISHERS,2017
,52,Demographic distribution of hospital admissions for brain arteriovenous malformations in Germany–estimation of the natural course with the big-data approach,"Petridis, A. K.; Fischer, I.; Cornelius, J. F.; Kamp, M. A.; Ringel, F.; Tortora, A.; Steiger, H. J.",Springer Science + Business Media,2016
,53,FRI-246-Elimination of HCV in a Large Urban Health System in the United States: A Big-data Approach,"Perumalswami, Ponni; Wyatt, Brooke; Harty, Alyson; Mageras, Anna; Li, Li; Miller, Mark; Vandromme, Maxence; Dudley, Joel; Dieterich, Douglas; Branch, Andrea","Elsevier Science B.V., Amsterdam.",2019
,54,A ReRAM-Based 4T2R Nonvolatile TCAM Using RC-Filtered Stress-Decoupled Scheme for Frequent-OFF Instant-ON Search Engines Used in IoT and Big-Data Processing,"Chang, M.; Huang, L.; Lin, W.; Chiang, Y.; Kuo, C.; Chuang, C.; Yang, K.; Tsai, H.; Chen, T.; Sheu, S.",IEEE; 1998,2016
,55,Detection of the onset of agitation in patients with dementia: real-time monitoring and the application of big-data solutions,"Moore, P.; Thomas, A.; Tadros, G.; Xhafa, F.; Barolli, L.",Inderscience Publisher,2013
,56,"Hepatitis B virus screening and reactivation and management of patients with nasopharyngeal carcinoma: A large‐scale, big‐data intelligence platform–based analysis from an endemic area",Jia‐Wei Lv,wiley,2017
,57,Clinical features and survival outcomes between ascending and descending types of nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data intelligence platform-based analysis,"Yao, Ji-Jin; Qi, Zhen-Yu; Liu, Zhi-Gang; Jiang, Guan-Min; Xu, Xi-Wei; Chen, Shao-Yi; Zhu, Feng-Ting; Zhang, Wang-Jian; Lawrence, Wayne R.; Ma, Jun; Zhou, Guan-Qun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2019
,58,``Internet+'' Psychological Platform: A New Approach to the Evidence-based Practice of Psychological Healthy in Big-data Age,"Li, Ke-sheng",EDITORIAL BOARD OF CHINESE JOURNAL OF CLINICAL PSYCHOLOGY,2019
,59,"Corporate social responsibility, Green supply chain management and firm performance: The moderating role of big-data analytics capability","Wang, Chenxiao; Zhang, Qingpu; Zhang, Wei",Elsevier Science B.V.Amsterdam,2020
,60,Sleep and screen exposure across the beginning of life: deciphering the links using big-data analytics,"Kahn, Michal; Barnett, Natalie; Glazer, Assaf; Gradisar, Michael",Oxford University Press,2020
,61,Evolution of regional low-carbon innovation systems with sustainable development: An empirical study with big-data,"Yin, Hang; Zhao, Jianyu; Xi, Xi; Zhang, Yuhan","Elsevier Science B.V., Amsterdam.",2019
,62,An Improved SVM-T-RFE Based on Intensity-Dependent Normalization for Feature Selection in Gene Expression of Big-Data,"Kim,  Chayoung; Kim,  Hye-young",Springer,2017
,63,Opportunities for Energy Efficient Computing: A Study of Inexact General Purpose Processors for High-Performance and Big-Data Applications,"Düben, Peter; Schlachter, Jeremy; Parishkrati,; Yenugula, Sreelatha; Augustine, John; Enz, Christian; Palem, K.; Palmer, T. N.",IEEE Computer Society,2015
,64,"Self-reported sleep disturbances attributed to light, temperature, and noise decline linearly with age: a big-data analysis of 92, 702 users","Ruder, M.","Elsevier Science B.V., Amsterdam.",2022
,65,E-government recommendation algorithm based on probabilistic semantic cluster analysis in combination of improved collaborative filtering in big-data environment of government affairs,"Xu, Caie; Xu, Lisha; Lu, Yingying; Xu, Huan; Zhu, Zhongliang",Springer Nature,2019
,66,A benchmark approach and its toolkit for online scheduling of multiple deadline-constrained workflows in big-data processing systems,"Zhang, Dongzhan; Yan, Wenjing; Bugingo, Emmanuel; Zheng, Wei; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,67,Scheduling Instructions for Enhanced Performance and Energy Efficiency on a Clustered Architecture with Applications in Big-Data Sensor Networks ," Zeng, Sishu; Tang, Haijing; Yang, Xu",American Scientific Publishers,2016
,68,Environmental impacts characterization of packaging waste generated by urban food delivery services. A big-data analysis in Jing-Jin-Ji region (China),"Liu, Gengyuan; Agostinho, Feni; Duan, Huabo; Song, Guanghan; Wang, Xueqi; Giannetti, Biagio F.; Santagata, Remo; Casazza, Marco; Lega, Massimiliano","Elsevier Science B.V., Amsterdam.",2020
,69,Biological ingredient analysis of traditional Chinese medicines utilizing metagenomic approach based on high-throughput-sequencing and big-data-mining,"Bai,  H.; Ning,  K.; Wang,  C. Y.",CHINESES PHARMACEUTICAL ASSOCIATION,2015
,70,"Low ALT values amongst hospitalized patients are associated with increased risk of hypoglycemia and overall mortality: a retrospective, big-data analysis of 51 831 patients","Itelman, E; Segev, A; Ahmead, L; Leibowitz, E; Agbaria, M; Avaky, C; Negro, L; Shenhav-Saltzman, G; Wasserstrum, Y; Segal, G",Oxford University Press,2021
,71,A Review of Modern Cryptography: From the World War II Era to the Big-Data Era,"Lu,  Bojun",Kluwer Academic Publishers,2017
,72,Survival impact of radiotherapy interruption in nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data intelligence platform-based analysis,"Yao, Ji-Jin; Zhang, Fan; Gao, Tian-Sheng; Zhang, Wang-Jian; Lawrence, Wayne R.; Zhu, Bao-Ting; Zhou, Guan-Qun; Ma, Jun; Wang, Si-Yang; Sun, Ying","Elsevier Science B.V., Amsterdam.",2019
